region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Villa Santa Rita,85000.0,42.0,4.0,2.0,,http://villa-santa-rita.properati.com.ar/10ovf_venta_departamentos_villa-real_luminoso_estrenar_re-max-acci-oacute-n,-34.615587,-58.491019
Capital Federal,Belgrano,90000.0,33.0,,1.0,1500.0,http://belgrano.properati.com.ar/12t6r_venta_departamentos_belgrano_luminoso_orwel-proyectos-inmobiliarios,-34.5538973,-58.4519393
Capital Federal,Caballito,109000.0,37.0,6.0,1.0,,http://caballito.properati.com.ar/12rj2_venta_departamentos_caballito_gimnasio_hidromasaje_parrilla_piscina_quincho_sum_vista_sauna_lujoso_garage_amenities_subte-linea-e_proyectos,-34.62818,-58.429483
Capital Federal,Parque Chacabuco,87000.0,42.0,,2.0,,http://parque-chacabuco.properati.com.ar/v4py_venta_departamentos_flores,,
Capital Federal,Villa Urquiza,112000.0,40.0,2.0,2.0,,http://villa-urquiza.properati.com.ar/10mec_venta_departamentos_villa-urquiza_balcon_garage_placard_re-max-ra-iacute-ces,-34.573425,-58.494445
Capital Federal,Recoleta,183000.0,35.0,,1.0,,http://recoleta.properati.com.ar/12sde_venta_departamentos_recoleta_balcon_garage_impecable_estrenar_subte-linea-h_zimmer-sarmiento-propiedades,-34.590518,-58.388665
Capital Federal,Retiro,126000.0,55.0,,2.0,1600.0,http://retiro.properati.com.ar/10agb_venta_departamentos_retiro_luminoso_interwin-marketing-inmobiliario_9ic,-34.5977692,-58.3753957
Capital Federal,Palermo,210000.0,63.0,14.0,3.0,1700.0,http://palermo.properati.com.ar/yani_venta_departamentos_palermo_balcon_luminoso_lacroze-propiedades,-34.5768933,-58.4306228
Capital Federal,Villa Devoto,103000.0,42.0,,,,http://villa-devoto.properati.com.ar/wux6_venta_departamentos_agronomia,-34.5993371549,-58.485000192
Capital Federal,Recoleta,210000.0,82.0,,3.0,,http://recoleta.properati.com.ar/10tsa_venta_departamentos_recoleta_balcon_lavadero_toilette_luminoso_dependencias_losa-radiante_victorino-de-la-plaza_d03,-34.5983728,-58.3973356
Capital Federal,Almagro,95000.0,37.0,,2.0,326.0,http://almagro.properati.com.ar/11isz_venta_departamentos_almagro_balcon_baulera_lavadero_parrilla_sum_terraza_luminoso_placard_aire-acondicionado_deborah-sosa-inversiones-inmobiliarias_akn,-34.6001596,-58.4191305
Capital Federal,Villa Luro,165000.0,86.0,,3.0,,http://villa-luro.properati.com.ar/ykf9_venta_departamentos_floresta_balcon_baulera_parrilla_quincho_sum_garage_amenities_placard_aire-acondicionado_re-max-urbana,-34.637834,-58.503098
Capital Federal,San Nicolás,110000.0,37.0,,1.0,4000.0,http://san-nicolas.properati.com.ar/ys81_venta_departamentos_santiago-del-estero_garage_inmobiliaria-pastura,-34.6037137392,-58.3815808896
Capital Federal,Barracas,96483.95,42.0,,1.0,,http://barracas.properati.com.ar/zsmv_venta_departamentos_barracas_balcon_piscina_amenities_placard_nucifora-propiedades_crr,-34.6321116,-58.3703982
Capital Federal,Caballito,120000.0,52.0,,,,http://caballito.properati.com.ar/zvnm_venta_departamentos_caballito_patio_garage_estrenar_the-union-propiedades_8tu,-34.6246256,-58.4531908
Capital Federal,Recoleta,270000.0,59.0,2.0,1.0,,http://recoleta.properati.com.ar/11n7t_venta_departamentos_recoleta_montevideo_1200_gimnasio_piscina_luminoso_garage_luciano-cazenave-inversiones-inmobiliarias,-34.5951698271,-58.3900615127
Capital Federal,Saavedra,120000.0,40.0,,1.0,1000.0,http://saavedra.properati.com.ar/12iu9_venta_departamentos_saavedra_balcon_gimnasio_lavadero_parrilla_piscina_terraza_luminoso_garage_le-bleu,-34.557199,-58.480847
Capital Federal,Flores,151006.93,56.0,2.0,3.0,,http://flores.properati.com.ar/fzk8_venta_departamento_flores_yerbal_2100,-34.6264398,-58.4594193
Capital Federal,Centro / Microcentro,105000.0,50.0,11.0,,,http://centro-microcentro.properati.com.ar/zee7_venta_departamentos_san-nicolas_luminoso_placard_auge-propiedades,-34.6040941,-58.3923691
Capital Federal,Liniers,67000.0,31.0,2.0,1.0,700.0,http://liniers.properati.com.ar/zjhw_alquiler_departamentos_liniers_luminoso_amoblado_mp-inmuebles,-34.6412473,-58.5185294
Capital Federal,Palermo,115000.0,39.0,,2.0,980.0,http://palermo.properati.com.ar/11neh_venta_departamentos_palermo_balcon_parrilla_sum_vestidor_luminoso_lujoso_amenities_aire-acondicionado_soldati-propiedades,-34.5917998504,-58.4265886534
Capital Federal,Almagro,115000.0,72.0,5.0,3.0,,http://almagro.properati.com.ar/11gxz_venta_departamentos_boedo_luminoso_garage_placard_re-max-parque,-34.611471,-58.416066
Capital Federal,Belgrano,195000.0,40.0,,2.0,,http://belgrano.properati.com.ar/10trb_alquiler_departamentos_belgrano_gimnasio_hidromasaje_lavadero_parrilla_piscina_quincho_toilette_sauna_amenities_ziade-realty,-34.5600767,-58.4463618
Capital Federal,Villa Urquiza,97800.0,38.0,,2.0,,http://villa-urquiza.properati.com.ar/khxt_venta_departamentos_villa-urquiza,-34.5780621,-58.4952915
