timestamp,P2
2018-01-06 06:00:00+03:00,11.42694444
2018-01-06 07:00:00+03:00,10.79694444
2018-01-06 08:00:00+03:00,8.983055556
2018-01-06 09:00:00+03:00,7.191388889
2018-01-06 10:00:00+03:00,10.5025
2018-01-06 11:00:00+03:00,10.66472222
2018-01-06 12:00:00+03:00,10.71611111
2018-01-06 13:00:00+03:00,11.21472222
2018-01-06 14:00:00+03:00,10.97
2018-01-06 15:00:00+03:00,9.658285714
2018-01-06 16:00:00+03:00,10.04243243
2018-01-06 17:00:00+03:00,10.02833333
2018-01-06 18:00:00+03:00,10.51416667
2018-01-06 19:00:00+03:00,11.33944444
2018-01-06 20:00:00+03:00,11.12666667
2018-01-06 21:00:00+03:00,10.38555556
2018-01-06 22:00:00+03:00,10.32222222
2018-01-06 23:00:00+03:00,11.59527778
2018-01-07 00:00:00+03:00,12.07861111
2018-01-07 01:00:00+03:00,11.37944444
2018-01-07 02:00:00+03:00,11.77527778
2018-01-07 03:00:00+03:00,10.74444444
2018-01-07 04:00:00+03:00,10.08861111
2018-01-07 05:00:00+03:00,10.09194444
2018-01-07 06:00:00+03:00,9.061944444
2018-01-07 07:00:00+03:00,6.006111111
2018-01-07 08:00:00+03:00,8.932222222
2018-01-07 09:00:00+03:00,10.47333333
2018-01-07 10:00:00+03:00,10.59305556
2018-01-07 11:00:00+03:00,11.69722222
2018-01-07 12:00:00+03:00,11.58432432
2018-01-07 13:00:00+03:00,10.37722222
2018-01-07 14:00:00+03:00,8.978611111
2018-01-07 15:00:00+03:00,8.073333333
2018-01-07 16:00:00+03:00,7.964722222
2018-01-07 17:00:00+03:00,8.980277778
2018-01-07 18:00:00+03:00,9.193888889
2018-01-07 19:00:00+03:00,9.028055556
2018-01-07 20:00:00+03:00,9.408055556
2018-01-07 21:00:00+03:00,9.459722222
2018-01-07 22:00:00+03:00,9.728055556
2018-01-07 23:00:00+03:00,10.15378378
2018-01-08 00:00:00+03:00,9.846944444
2018-01-08 01:00:00+03:00,9.967714286
2018-01-08 02:00:00+03:00,10.01837838
2018-01-08 03:00:00+03:00,9.739444444
2018-01-08 04:00:00+03:00,10.24083333
2018-01-08 05:00:00+03:00,12.75611111
2018-01-08 06:00:00+03:00,10.255
2018-01-08 07:00:00+03:00,9.689444444
2018-01-08 08:00:00+03:00,9.431388889
2018-01-08 09:00:00+03:00,14.55527778
2018-01-08 10:00:00+03:00,15.86857143
2018-01-08 11:00:00+03:00,14.229375
2018-01-08 12:00:00+03:00,10.28822222
2018-01-08 13:00:00+03:00,9.020526316
2018-01-08 14:00:00+03:00,8.257567568
2018-01-08 15:00:00+03:00,7.668157895
2018-01-08 16:00:00+03:00,8.011666667
2018-01-08 17:00:00+03:00,9.328461538
2018-01-08 18:00:00+03:00,11.1636
2018-01-08 19:00:00+03:00,9.954642857
2018-01-08 20:00:00+03:00,10.60777778
2018-01-08 21:00:00+03:00,9.692222222
2018-01-08 22:00:00+03:00,9.403333333
2018-01-08 23:00:00+03:00,9.158055556
2018-01-09 00:00:00+03:00,9.725833333
2018-01-09 01:00:00+03:00,9.155
2018-01-09 02:00:00+03:00,8.763333333
2018-01-09 03:00:00+03:00,8.864722222
2018-01-09 04:00:00+03:00,9.603611111
2018-01-09 05:00:00+03:00,10.43277778
2018-01-09 06:00:00+03:00,10.69055556
2018-01-09 07:00:00+03:00,10.55722222
2018-01-09 08:00:00+03:00,11.71361111
2018-01-09 09:00:00+03:00,10.56285714
2018-01-09 10:00:00+03:00,10.01222222
2018-01-09 11:00:00+03:00,8.304
2018-01-09 12:00:00+03:00,6.388709677
2018-01-09 13:00:00+03:00,7.277368421
2018-01-09 14:00:00+03:00,9.758181818
2018-01-09 15:00:00+03:00,6.653333333
2018-01-09 16:00:00+03:00,6.097916667
2018-01-09 17:00:00+03:00,7.945
2018-01-09 18:00:00+03:00,8.183333333
